Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2012-11-15,BOA,0.33,0.33,0.33,0.33,1500,0.33
2012-11-14,BOA,0.31,0.40,0.31,0.40,6600,0.40
2012-11-13,BOA,0.27,0.31,0.27,0.31,1100,0.31
2012-11-12,BOA,0.49,0.49,0.49,0.49,000,0.49
2012-11-09,BOA,0.40,0.40,0.26,0.26,1700,0.26
2012-11-08,BOA,0.49,0.49,0.49,0.49,000,0.49
2012-11-07,BOA,0.68,0.68,0.49,0.49,100,0.49
2012-11-06,BOA,0.65,0.65,0.65,0.65,100,0.65
2012-11-05,BOA,0.70,0.70,0.70,0.70,100,0.70
2012-11-02,BOA,0.61,0.72,0.50,0.63,15100,0.63
2012-11-01,BOA,0.62,0.62,0.62,0.62,000,0.62
2012-10-31,BOA,0.62,0.62,0.62,0.62,000,0.62
2012-10-30,BOA,0.43,0.43,0.43,0.43,000,0.43
2012-10-29,BOA,0.36,0.43,0.36,0.43,2000,0.43
2012-10-26,BOA,0.44,0.44,0.34,0.35,1000,0.35
2012-10-25,BOA,0.39,0.40,0.32,0.40,13600,0.40
2012-10-24,BOA,0.32,0.39,0.29,0.39,21600,0.39
2012-10-23,BOA,0.32,0.32,0.28,0.32,1000,0.32
2012-10-22,BOA,0.32,0.32,0.32,0.32,000,0.32
2012-10-19,BOA,0.31,0.31,0.31,0.31,000,0.31
2012-10-18,BOA,0.32,0.32,0.32,0.32,000,0.32
2012-10-17,BOA,0.32,0.32,0.28,0.32,300,0.32
2012-10-16,BOA,0.32,0.32,0.32,0.32,000,0.32
2012-10-15,BOA,0.32,0.32,0.32,0.32,100,0.32
2012-10-12,BOA,0.33,0.33,0.30,0.32,3500,0.32
2012-10-11,BOA,0.33,0.33,0.28,0.33,200,0.33
2012-10-10,BOA,0.32,0.32,0.32,0.32,100,0.32
2012-10-09,BOA,0.33,0.33,0.33,0.33,100,0.33
2012-10-08,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-10-05,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-10-04,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-10-03,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-10-02,BOA,0.34,0.34,0.34,0.34,000,0.34
2012-10-01,BOA,0.34,0.34,0.34,0.34,000,0.34
2012-09-28,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-09-27,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-09-26,BOA,0.34,0.34,0.30,0.30,200,0.30
2012-09-25,BOA,0.33,0.34,0.33,0.34,000,0.34
2012-09-24,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-09-21,BOA,0.30,0.30,0.30,0.30,100,0.30
2012-09-20,BOA,0.32,0.32,0.30,0.30,100,0.30
2012-09-19,BOA,0.33,0.33,0.29,0.29,2100,0.29
2012-09-18,BOA,0.32,0.32,0.32,0.32,000,0.32
2012-09-17,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-09-14,BOA,0.30,0.30,0.30,0.30,100,0.30
2012-09-13,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-09-12,BOA,0.30,0.30,0.30,0.30,100,0.30
2012-09-11,BOA,0.30,0.30,0.26,0.30,2500,0.30
2012-09-10,BOA,0.30,0.30,0.30,0.30,2000,0.30
2012-09-07,BOA,0.33,0.33,0.30,0.30,100,0.30
2012-09-06,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-09-05,BOA,0.32,0.32,0.32,0.32,100,0.32
2012-09-04,BOA,0.32,0.32,0.27,0.32,1900,0.32
2012-09-03,BOA,0.33,0.33,0.29,0.30,3700,0.30
2012-08-31,BOA,0.33,0.33,0.33,0.33,100,0.33
2012-08-30,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-08-29,BOA,0.33,0.33,0.28,0.33,3000,0.33
2012-08-28,BOA,0.33,0.33,0.29,0.33,3000,0.33
2012-08-27,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-08-24,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-08-23,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-08-22,BOA,0.33,0.33,0.33,0.33,100,0.33
2012-08-21,BOA,0.33,0.33,0.33,0.33,000,0.33
2012-08-20,BOA,0.33,0.33,0.33,0.33,100,0.33
2012-08-17,BOA,0.30,0.31,0.30,0.30,37600,0.30
2012-08-16,BOA,0.33,0.33,0.28,0.28,3900,0.28
2012-08-15,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-08-14,BOA,0.30,0.30,0.30,0.30,10000,0.30
2012-08-13,BOA,0.24,0.25,0.24,0.25,6300,0.25
2012-08-10,BOA,0.23,0.24,0.23,0.24,900,0.24
2012-08-09,BOA,0.20,0.23,0.20,0.23,100,0.23
2012-08-08,BOA,0.23,0.23,0.23,0.23,000,0.23
2012-08-07,BOA,0.24,0.24,0.20,0.20,4200,0.20
2012-08-06,BOA,0.20,0.24,0.20,0.24,15700,0.24
2012-08-03,BOA,0.17,0.20,0.17,0.20,5600,0.20
2012-08-02,BOA,0.22,0.23,0.18,0.18,15200,0.18
2012-08-01,BOA,0.15,0.21,0.15,0.21,171800,0.21
2012-07-31,BOA,0.14,0.17,0.14,0.15,25800,0.15
2012-07-30,BOA,0.15,0.15,0.15,0.15,100,0.15
2012-07-27,BOA,0.15,0.15,0.15,0.15,100,0.15
2012-07-26,BOA,0.15,0.15,0.15,0.15,100,0.15
2012-07-25,BOA,0.15,0.15,0.13,0.15,400,0.15
2012-07-24,BOA,0.15,0.15,0.15,0.15,100,0.15
2012-07-23,BOA,0.15,0.15,0.15,0.15,000,0.15
2012-07-20,BOA,0.12,0.14,0.12,0.14,500,0.14
2012-07-19,BOA,0.12,0.14,0.12,0.14,600,0.14
2012-07-18,BOA,0.20,0.20,0.14,0.14,8700,0.14
2012-07-17,BOA,0.21,0.21,0.17,0.17,4100,0.17
2012-07-16,BOA,0.21,0.21,0.19,0.19,2100,0.19
2012-07-13,BOA,0.22,0.22,0.20,0.20,7700,0.20
2012-07-12,BOA,0.24,0.24,0.21,0.21,4400,0.21
2012-07-11,BOA,0.30,0.30,0.23,0.23,13700,0.23
2012-07-10,BOA,0.30,0.30,0.30,0.30,000,0.30
